Points RCM;Massif; SAFRAN;LAT;LON;ZS
1;1;Chablais;46.18;6.645;600
2;1;Chablais;46.18;6.645;900
3;1;Chablais;46.18;6.645;1200
4;1;Chablais;46.18;6.645;1500
5;1;Chablais;46.18;6.645;1800
6;1;Chablais;46.18;6.645;2100
7;1;Chablais;46.18;6.645;2400
8;1;Chablais;46.18;6.645;2700
9;2;Aravis;45.89;6.397;900
10;2;Aravis;45.89;6.397;1200
11;2;Aravis;45.89;6.397;1500
12;2;Aravis;45.89;6.397;1800
13;2;Aravis;45.89;6.397;2100
14;2;Aravis;45.89;6.397;2400
15;2;Aravis;45.89;6.397;2700
16;3;Mt Blanc;45.9;6.824;1200
17;3;Mt Blanc;45.9;6.824;1500
18;3;Mt Blanc;45.9;6.824;1800
19;3;Mt Blanc;45.9;6.824;2100
20;3;Mt Blanc;45.9;6.824;2400
21;3;Mt Blanc;45.9;6.824;2700
22;3;Mt Blanc;45.9;6.824;3000
23;3;Mt Blanc;45.9;6.824;3300
24;3;Mt Blanc;45.9;6.824;3600
25;4;Bauges;45.66;6.102;600
26;4;Bauges;45.66;6.102;900
27;4;Bauges;45.66;6.102;1200
28;4;Bauges;45.66;6.102;1500
29;4;Bauges;45.66;6.102;1800
30;4;Bauges;45.66;6.102;2100
31;5;Beaufortin;45.66;6.577;900
32;5;Beaufortin;45.66;6.577;1200
33;5;Beaufortin;45.66;6.577;1500
34;5;Beaufortin;45.66;6.577;1800
35;5;Beaufortin;45.66;6.577;2100
36;5;Beaufortin;45.66;6.577;2400
37;5;Beaufortin;45.66;6.577;2700
38;5;Beaufortin;45.66;6.577;3000
39;6;Hte Tarentaise;45.54;6.901;900
40;6;Hte Tarentaise;45.54;6.901;1200
41;6;Hte Tarentaise;45.54;6.901;1500
42;6;Hte Tarentaise;45.54;6.901;1800
43;6;Hte Tarentaise;45.54;6.901;2100
44;6;Hte Tarentaise;45.54;6.901;2400
45;6;Hte Tarentaise;45.54;6.901;2700
46;6;Hte Tarentaise;45.54;6.901;3000
47;6;Hte Tarentaise;45.54;6.901;3300
48;6;Hte Tarentaise;45.54;6.901;3600
49;7;Chartreuse;45.38;5.808;600
50;7;Chartreuse;45.38;5.808;900
51;7;Chartreuse;45.38;5.808;1200
52;7;Chartreuse;45.38;5.808;1500
53;7;Chartreuse;45.38;5.808;1800
54;7;Chartreuse;45.38;5.808;2100
55;8;Belledonne;45.27;6.002;600
56;8;Belledonne;45.27;6.002;900
57;8;Belledonne;45.27;6.002;1200
58;8;Belledonne;45.27;6.002;1500
59;8;Belledonne;45.27;6.002;1800
60;8;Belledonne;45.27;6.002;2100
61;8;Belledonne;45.27;6.002;2400
62;8;Belledonne;45.27;6.002;2700
63;8;Belledonne;45.27;6.002;3000
64;9;Maurienne;45.33;6.355;600
65;9;Maurienne;45.33;6.355;900
66;9;Maurienne;45.33;6.355;1200
67;9;Maurienne;45.33;6.355;1500
68;9;Maurienne;45.33;6.355;1800
69;9;Maurienne;45.33;6.355;2100
70;9;Maurienne;45.33;6.355;2400
71;9;Maurienne;45.33;6.355;2700
72;9;Maurienne;45.33;6.355;3000
73;10;Vanoise;45.41;6.618;900
74;10;Vanoise;45.41;6.618;1200
75;10;Vanoise;45.41;6.618;1500
76;10;Vanoise;45.41;6.618;1800
77;10;Vanoise;45.41;6.618;2100
78;10;Vanoise;45.41;6.618;2400
79;10;Vanoise;45.41;6.618;2700
80;10;Vanoise;45.41;6.618;3000
81;10;Vanoise;45.41;6.618;3300
82;10;Vanoise;45.41;6.618;3600
83;11;Hte Maurienne;45.26;6.915;1200
84;11;Hte Maurienne;45.26;6.915;1500
85;11;Hte Maurienne;45.26;6.915;1800
86;11;Hte Maurienne;45.26;6.915;2100
87;11;Hte Maurienne;45.26;6.915;2400
88;11;Hte Maurienne;45.26;6.915;2700
89;11;Hte Maurienne;45.26;6.915;3000
90;11;Hte Maurienne;45.26;6.915;3300
91;11;Hte Maurienne;45.26;6.915;3600
92;12;Grandes Rousses;45.12;6.218;900
93;12;Grandes Rousses;45.12;6.218;1200
94;12;Grandes Rousses;45.12;6.218;1500
95;12;Grandes Rousses;45.12;6.218;1800
96;12;Grandes Rousses;45.12;6.218;2100
97;12;Grandes Rousses;45.12;6.218;2400
98;12;Grandes Rousses;45.12;6.218;2700
99;12;Grandes Rousses;45.12;6.218;3000
100;12;Grandes Rousses;45.12;6.218;3300
101;13;Thabor;45.02;6.592;1500
102;13;Thabor;45.02;6.592;1800
103;13;Thabor;45.02;6.592;2100
104;13;Thabor;45.02;6.592;2400
105;13;Thabor;45.02;6.592;2700
106;13;Thabor;45.02;6.592;3000
107;14;Vercors;45;5.493;600
108;14;Vercors;45;5.493;900
109;14;Vercors;45;5.493;1200
110;14;Vercors;45;5.493;1500
111;14;Vercors;45;5.493;1800
112;14;Vercors;45;5.493;2100
113;14;Vercors;45;5.493;2400
114;15;Oisans;44.95;6;900
115;15;Oisans;44.95;6;1200
116;15;Oisans;44.95;6;1500
117;15;Oisans;44.95;6;1800
118;15;Oisans;44.95;6;2100
119;15;Oisans;44.95;6;2400
120;15;Oisans;44.95;6;2700
121;15;Oisans;44.95;6;3000
122;15;Oisans;44.95;6;3300
123;15;Oisans;44.95;6;3600
124;16;Pelvoux;44.84;6.458;1200
125;16;Pelvoux;44.84;6.458;1500
126;16;Pelvoux;44.84;6.458;1800
127;16;Pelvoux;44.84;6.458;2100
128;16;Pelvoux;44.84;6.458;2400
129;16;Pelvoux;44.84;6.458;2700
130;16;Pelvoux;44.84;6.458;3000
131;16;Pelvoux;44.84;6.458;3300
132;16;Pelvoux;44.84;6.458;3600
133;17;Queyras;44.77;6.794;1200
134;17;Queyras;44.77;6.794;1500
135;17;Queyras;44.77;6.794;1800
136;17;Queyras;44.77;6.794;2100
137;17;Queyras;44.77;6.794;2400
138;17;Queyras;44.77;6.794;2700
139;17;Queyras;44.77;6.794;3000
140;18;Devoluy;44.7;5.85;600
141;18;Devoluy;44.7;5.85;900
142;18;Devoluy;44.7;5.85;1200
143;18;Devoluy;44.7;5.85;1500
144;18;Devoluy;44.7;5.85;1800
145;18;Devoluy;44.7;5.85;2100
146;18;Devoluy;44.7;5.85;2400
147;18;Devoluy;44.7;5.85;2700
148;18;Devoluy;44.7;5.85;3000
149;19;Champsaur;44.71;6.235;1200
150;19;Champsaur;44.71;6.235;1500
151;19;Champsaur;44.71;6.235;1800
152;19;Champsaur;44.71;6.235;2100
153;19;Champsaur;44.71;6.235;2400
154;19;Champsaur;44.71;6.235;2700
155;19;Champsaur;44.71;6.235;3000
156;19;Champsaur;44.71;6.235;3300
157;20;Parpaillon;44.57;6.501;900
158;20;Parpaillon;44.57;6.501;1200
159;20;Parpaillon;44.57;6.501;1500
160;20;Parpaillon;44.57;6.501;1800
161;20;Parpaillon;44.57;6.501;2100
162;20;Parpaillon;44.57;6.501;2400
163;20;Parpaillon;44.57;6.501;2700
164;20;Parpaillon;44.57;6.501;3000
165;20;Parpaillon;44.57;6.501;3300
166;21;Ubaye;44.45;6.671;1200
167;21;Ubaye;44.45;6.671;1500
168;21;Ubaye;44.45;6.671;1800
169;21;Ubaye;44.45;6.671;2100
170;21;Ubaye;44.45;6.671;2400
171;21;Ubaye;44.45;6.671;2700
172;21;Ubaye;44.45;6.671;3000
173;22;Alpes Azur;44.12;6.796;600
174;22;Alpes Azur;44.12;6.796;900
175;22;Alpes Azur;44.12;6.796;1200
176;22;Alpes Azur;44.12;6.796;1500
177;22;Alpes Azur;44.12;6.796;1800
178;22;Alpes Azur;44.12;6.796;2100
179;22;Alpes Azur;44.12;6.796;2400
180;22;Alpes Azur;44.12;6.796;2700
181;23;Mercantour;44.13;7.316;1200
182;23;Mercantour;44.13;7.316;1500
183;23;Mercantour;44.13;7.316;1800
184;23;Mercantour;44.13;7.316;2100
185;23;Mercantour;44.13;7.316;2400
186;23;Mercantour;44.13;7.316;2700
187;23;Mercantour;44.13;7.316;3000
