Saint Sorlin;2922.27851
du Grand Sablat;3170.06135
des Quirlies;2961.556974
du Prazon;2667.984756
du Clot de l'Homme Pelvoux Violettes;3492.272727
du Vallon des Etages;2841.178571
des Rouies;3284.512953
du Says;3052.627072
Ouest des Sellettes;2879.369942
Est des Sellettes;2624.043836
de la Pilatte;2933.053571
du Sele;3005.452381
Noir;2776.357753
d'Arsine;2707.2
du Casset;3189.493554
du Monetier;3234.58132
de Seguret Foran;3211.670854
de la Plate des Agneaux 1;2603.10566
de Bonne Pierre;2787.046968
du vallon de la Pilatte;3446.417062
Blanc;3196.086897
de la Selle;3186.755975
des Etancons;3228.670391
du Lautaret;3038.369352
de l'Homme;3214.784367
du Tabuchet;3193.2567
de la Meije;3191.455898
du Rateau;2894.578947
de la Girose;3223.742847
de Mont de Lans;3233.621302
du Tour;3005.659011
du Chardonnet;3195.355353
des Amethystes;3205.267663
du Nant Blanc;2819.311978
du Tour Noir;3169.674679
de Talefre;2998.272771
d'Envers de Blaitiere;2704.580745
des Pelerins;2519.054762
de Miage;2762.611765
des Glaciers;3194.178273
de l'Invernet;2900.802778
Inferieur des Balmes;2476.04
Nord de la Gurraz;3044.081081
de la Gurraz;3099.925926
du Fond;3229.065327
des Sources de l'Isere 1;3090.140244
des Sources de l'Isere 2;3077.945652
de la Grande Casse;2825.633708
de Premou;3058.72093
de la Grande Motte;3025.985082
des Grands Couloirs;3411.102151
des Sources de l'Arc 4;3157.042969
des Sources de l'Arc 2;2935.754569
du Mulinet;3083.782732
du Grand Mean Nord 1;3082.422141
du Vallonnet;3282.271616
des Evettes;3091.367707
du Genepy;3211.433411
des Sonnailles;3427.647137
de la Mahure 1;2985.315141
de Charbonnel;3463.271341
d'Arnes;3125.984925
de Chaviere 1;3185.51871
de Chaviere 2;3035.818898
Baounet 1;3018.423803
de Derriere le Clapier 1;2995.051205
de Rochemelon;3130.317961
d'Argentiere;2808.363893
Du Dome de Chasseforet 1;3318.24359
du Grand Fond;3332.764451
Superieur du Vallonnet 1;3225.482219
de Rhemes Golette 1;3057.906077
de la Sassiere;3258.275556
de l'Epena;2923.430986
de l'Arpont;3291.921739
du Pelve 1;3232.531022
du Grand Marchet;3011.997522
de l'Arcellin - Roche Ferran 1;3050.749035
de la Mahure 2;3238.157161
de Tre la Tete 1;2961.664305
Mer de Glace 1;2868.590752
de Bionnassay;3093.725945
des Bossons;3589.751139
de Taconnaz;3371.805993
d'Armancette;3279.931624
Superieur des Balmes;3313.780765
de la Savinaz;3270.540839
de Gebroulaz;3022.778463
du Chardon;3077
du Clot des Cavales;3078.5
de la Plate des Agneaux 2;3171
